date,visitors
2/2/21,763
2/3/21,728
2/4/21,782
2/5/21,655
2/6/21,358
2/7/21,404
2/8/21,658
2/9/21,746
2/10/21,785
2/11/21,755
2/12/21,604
2/13/21,350
2/14/21,411
2/15/21,657
2/16/21,690
2/17/21,739
2/18/21,714
2/19/21,670
2/20/21,340
2/21/21,338
2/22/21,695
2/23/21,811
2/24/21,811
2/25/21,826
2/26/21,674
2/27/21,409
2/28/21,751
3/1/21,727
3/2/21,806
3/3/21,801
3/4/21,831
3/5/21,734
3/6/21,396
3/7/21,370
3/8/21,793
3/9/21,876
3/10/21,836
3/11/21,810
3/12/21,811
3/13/21,396
3/14/21,415
3/15/21,837
3/16/21,864
3/17/21,842
3/18/21,914
3/19/21,956
3/20/21,361
3/21/21,410
